EN,PL,CS
Create a user,Utwórz użytkownika,Vytvořte uživatele
Created At,Utworzony,
Creation date,Data utworzenia,
Cron,Cron,
Cron alerts,Alarmy Cron,
Cron interval,Interwał cron,
Cron scheduler,Program planujący Cron,
Cron scheduler help,Pomoc programu planującego Cron,
Custom SMTP Configuration,Niestandardowe ustawienia SMTP,
Day of month,Dzień miesiąca,
Day of week,Dzień tygodnia,
Deactivate user,Dezaktywuj użytkownika,
Default (no),Domyślnie (nie),
Development,Rozwój,
DirectAdmin,DirectAdmin,
DirectAdmin (beta),DirectAdmin (beta),
Disable cron jobs,Wyłączyć zadania cron,
Disabled,Wyłączony,
Disk usage & Cache:,Wykorzystanie dysku i pamięci podręcznej:,
Dismiss & install later,Odrzuć i zainstaluj później,
Doesn't meet the requirements,Nie spełnia wymagań,
Download latest source,Pobierz najnowsze źródło,
Drop your certificate here,Upuść tutaj swój certyfikat,
"Edit the account ""%s""","Edytuj konto ""% s""",
Edit the user,Edytuj użytkownika,
Editor's Design,Projekt edytora,
Enable custom SMTP configuration,Włącz niestandardowa konfiguracje SMTP,
Enter your credentials:,Wpisz swoje dane logowania:,
Environment,Środowisko,
"Error, order already paid.","Błąd, zamówienie już opłacone.",
